1022,1192
2439,2619
4730,4895
6951,7058
7293,7390
10744,10767
15217,15302
15546,15608
17832,17971
23417,23568
27811,27970
30351,30461
30704,30786
32835,32998
35186,35329
37583,37767
39921,39987
40234,40317
42790,42900
44024,44099
46342,46510
48711,48767
48996,49098
51830,52029
54102,54258
56120,56271
57497,57646
60229,60304
60512,60622
63245,63413
66419,66601
68597,68714
70764,70932
73553,73776
76810,76963
79214,79337
81465,81577
83660,83882
91545,91700
91919,92007
94195,94360
96929,97036
99919,100017
100242,100318
102321,102402
102685,102762
104780,104920
106005,106080
108881,108967
109233,109317
111445,111592
114397,114501
115466,115574
117576,117781
120193,120347
122620,122778
127107,127234
129582,129796
131980,132119
132330,132480
134713,134850
137317,137483
139930,140086
142131,142175
143171,143358
145600,145685
145889,146048
147925,148100
148362,148492
150562,150789
151052,151151
153181,153357
153633,153750
156394,156599
159795,159978
162396,162518
162742,162861
165120,165260
165508,165655
