295,334
452,484
2610,2723
3225,3312
6313,6433
7795,7896
8885,9110
11228,11426
13026,13170
14134,14309
15764,15874
16225,16332
18019,18251
20757,20978
22483,22707
23583,23652
23954,24110
26709,26903
28649,28749
30166,30204
32846,33018
35315,35440
35761,35871
40062,40282
42647,42834
46182,46326
48017,48230
50288,50505
53392,53536
55898,55949
58169,58198
61627,61647
65562,65711
69488,69601
72559,72723
74918,75047
77518,77670
80030,80084
80355,80458
82177,82293
83022,83143
86048,86156
88569,88783
90119,90180
90502,90659
93267,93456
96195,96245
97551,97601
99750,99898
103129,103209
103812,103846
107673,107748
109305,109335
110470,110549
113059,113196
116480,116596
118904,119025
121188,121386
123971,124163
126350,126496
129503,129628
131353,131381
132717,132770
134278,134457
135955,136029
136576,136691
138467,138591
140853,141014
146260,146364
