1387,1612
3269,3352
5354,5421
6422,6464
7123,7170
8473,8647
10771,10862
11919,12075
14369,14480
15865,15980
16294,16401
18348,18459
20637,20874
23199,23313
23565,23746
26155,26346
29055,29091
30198,30428
32564,32674
32950,33042
36657,36758
37004,37113
37380,37431
39663,39811
40033,40142
42702,42803
43116,43221
46349,46450
46723,46785
48863,49010
51065,51153
52245,52393
54276,54473
56559,56704
57822,57953
60029,60295
62468,62546
62970,63085
64150,64219
66372,66453
66776,66879
69105,69194
69731,69787
71797,71863
73040,73205
75265,75369
75599,75715
78049,78267
80613,80733
80947,81065
85144,85363
87755,87915
90024,90118
91368,91474
93684,93836
94849,94969
97331,97440
97732,97889
100274,100355
100593,100674
104267,104358
105518,105570
108688,108878
111335,111509
114155,114322
116770,116896
117132,117254
119211,119327
119523,119600
122672,122773
123028,123168
123392,123456
128035,128144
128395,128540
131356,131484
131724,131818
134572,134628
134844,135023
137097,137304
139360,139452
139684,139775
142206,142286
143499,143633
146389,146476
146939,147082
149375,149526
149762,149867
152168,152285
153409,153560
156007,156265
