1387,1613
3263,3351
5351,5423
6420,6465
7121,7169
8466,8647
10769,10867
11913,12075
14366,14479
15860,15981
16291,16404
18346,18460
20636,20875
23197,23321
23561,23748
26152,26353
29055,29096
30195,30428
32563,32676
32947,33041
36656,36758
36998,37116
37379,37431
39662,39812
40027,40146
42698,42806
43113,43221
46346,46456
46723,46793
48856,49012
51064,51158
52240,52391
54274,54472
56555,56704
57819,57956
60028,60298
62466,62549
62965,63089
64144,64222
66368,66456
66772,66884
69102,69195
69730,69792
71792,71861
73039,73204
75270,75372
75600,75717
78047,78270
80616,80739
80946,81068
85141,85364
87754,87916
90022,90122
91364,91475
93682,93846
94845,94970
97325,97439
97727,97903
100274,100361
100593,100681
104263,104359
105515,105575
108687,108883
111323,111511
114145,114327
116767,116899
117127,117252
119211,119330
119522,119604
122668,122774
123024,123170
123386,123456
128030,128146
128389,128545
131356,131486
131723,131819
134572,134628
134843,135025
137093,137309
139357,139451
139677,139776
142206,142283
143497,143636
146384,146479
146933,147084
149372,149529
149759,149865
152165,152291
153416,153564
156002,156266
