1505,1680
3942,4027
6756,6903
9399,9557
12298,12413
13578,13658
17642,17715
18773,18910
21314,21490
24673,24828
27481,27654
30391,30580
33062,33218
37826,37900
38192,38307
41340,41518
44865,44978
48017,48169
50869,50928
53500,53555
53808,53966
55768,55817
58009,58103
58401,58483
60523,60725
66942,67040
67275,67364
69867,70054
72950,73031
73342,73475
75528,75720
77958,78129
80520,80719
83447,83590
85724,85919
87469,87585
87857,87939
89201,89433
91961,92139
94381,94557
96668,96739
99635,99678
100431,100478
103022,103198
105980,106126
108391,108583
110668,110801
114038,114227
115495,115603
